method,params,model,seed,train_score,test_score,grid_search_time,time,test_ind
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,0,0.8660714285714285,0.4568922305764412,0.0002377033233642578,0.08054471015930176,"[""['Age', 'Delivery number', 'Delivery time', 'Blood of Pressure', 'Heart Problem']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,1,0.8660714285714285,0.5151515151515151,0.0002396106719970703,0.07842659950256348,"[""['Age', 'Delivery number', 'Delivery time', 'Blood of Pressure', 'Heart Problem']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,2,0.8660714285714285,0.4568922305764412,0.00019812583923339844,0.06249403953552246,"[""['Age', 'Delivery number', 'Delivery time', 'Blood of Pressure', 'Heart Problem']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,3,0.8660714285714285,0.5151515151515151,0.000141143798828125,0.04579758644104004,"[""['Age', 'Delivery number', 'Delivery time', 'Blood of Pressure', 'Heart Problem']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,4,0.8660714285714285,0.4568922305764412,0.000217437744140625,0.0891108512878418,"[""['Age', 'Delivery number', 'Delivery time', 'Blood of Pressure', 'Heart Problem']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,5,0.8660714285714285,0.4568922305764412,0.0002288818359375,0.08959579467773438,"[""['Age', 'Delivery number', 'Delivery time', 'Blood of Pressure', 'Heart Problem']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,6,0.8660714285714285,0.5151515151515151,0.0005233287811279297,0.08471941947937012,"[""['Age', 'Delivery number', 'Delivery time', 'Blood of Pressure', 'Heart Problem']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,7,0.8660714285714285,0.4568922305764412,0.0002067089080810547,0.10048747062683105,"[""['Age', 'Delivery number', 'Delivery time', 'Blood of Pressure', 'Heart Problem']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,8,0.8660714285714285,0.5151515151515151,0.0002543926239013672,0.05612754821777344,"[""['Age', 'Delivery number', 'Delivery time', 'Blood of Pressure', 'Heart Problem']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,9,0.8660714285714285,0.5151515151515151,0.00021457672119140625,0.06199216842651367,"[""['Age', 'Delivery number', 'Delivery time', 'Blood of Pressure', 'Heart Problem']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,10,0.8660714285714285,0.4568922305764412,0.00023174285888671875,0.07963705062866211,"[""['Age', 'Delivery number', 'Delivery time', 'Blood of Pressure', 'Heart Problem']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,11,0.8660714285714285,0.4568922305764412,0.0003170967102050781,0.08307719230651855,"[""['Age', 'Delivery number', 'Delivery time', 'Blood of Pressure', 'Heart Problem']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,12,0.8660714285714285,0.5151515151515151,0.00024175643920898438,0.07795381546020508,"[""['Age', 'Delivery number', 'Delivery time', 'Blood of Pressure', 'Heart Problem']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,14,0.8660714285714285,0.5151515151515151,0.00022101402282714844,0.07621049880981445,"[""['Age', 'Delivery number', 'Delivery time', 'Blood of Pressure', 'Heart Problem']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,13,0.8660714285714285,0.4568922305764412,0.00019884109497070312,0.07988691329956055,"[""['Age', 'Delivery number', 'Delivery time', 'Blood of Pressure', 'Heart Problem']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,15,0.8660714285714285,0.4568922305764412,0.0002129077911376953,0.07873272895812988,"[""['Age', 'Delivery number', 'Delivery time', 'Blood of Pressure', 'Heart Problem']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,16,0.8660714285714285,0.4568922305764412,0.0002219676971435547,0.0755469799041748,"[""['Age', 'Delivery number', 'Delivery time', 'Blood of Pressure', 'Heart Problem']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,17,0.8660714285714285,0.4568922305764412,0.00024509429931640625,0.08364653587341309,"[""['Age', 'Delivery number', 'Delivery time', 'Blood of Pressure', 'Heart Problem']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,18,0.8660714285714285,0.4568922305764412,0.00019216537475585938,0.051535606384277344,"[""['Age', 'Delivery number', 'Delivery time', 'Blood of Pressure', 'Heart Problem']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,19,0.8660714285714285,0.4568922305764412,0.00015163421630859375,0.04963326454162598,"[""['Age', 'Delivery number', 'Delivery time', 'Blood of Pressure', 'Heart Problem']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,20,0.8660714285714285,0.5151515151515151,0.0002181529998779297,0.07426238059997559,"[""['Age', 'Delivery number', 'Delivery time', 'Blood of Pressure', 'Heart Problem']""]"
FeatureToolsFS,"{'feature_learning__pct_corr_threshold': [0.6, 0.7, 0.8, 0.9, 0.95]}",DT,21,0.8660714285714285,0.4568922305764412,0.00016736984252929688,0.051470279693603516,"[""['Age', 'Delivery number', 'Delivery time', 'Blood of Pressure', 'Heart Problem']""]"
